Datum;Uhrzeit;Deutschland/Luxemburg[Euro/MWh];Dänemark 1[Euro/MWh];Dänemark 2[Euro/MWh];Frankreich[Euro/MWh];Italien (Nord)[Euro/MWh];Niederlande[Euro/MWh];Polen[Euro/MWh];Schweden 4[Euro/MWh];Schweiz[Euro/MWh];Slowenien[Euro/MWh];Tschechien[Euro/MWh];Ungarn[Euro/MWh];Österreich[Euro/MWh];Deutschland/Österreich/Luxemburg[Euro/MWh]
02.06.2015;11:00;-;20,22;22,56;22,05;32,72;44,94;45,88;22,56;25,58;32,72;26,98;51,81;-;23,02
02.06.2015;12:00;-;18,72;19,18;25,26;32;36,59;45,86;19,18;23,37;32;23,61;51,81;-;18,72
02.06.2015;13:00;-;18,05;18,05;23,25;23,25;32,96;46,15;18,05;22,51;23,25;22,14;54,06;-;18,05
02.06.2015;14:00;-;17,46;17,46;23,19;23,19;33;42,98;17,46;20,44;23,19;20,65;49,56;-;17,46
02.06.2015;15:00;-;17,32;17,32;22,91;28,32;32,44;40,26;17,32;20,69;28,32;21;44,94;-;17,32
02.06.2015;16:00;-;17,4;17,4;23,78;34,02;34,94;39;17,4;21,09;34,02;21,33;39,66;-;17,4
02.06.2015;17:00;-;17,55;17,55;30,62;40;38;40,12;17,55;22,72;39;23,71;44,97;-;17,55
02.06.2015;18:00;-;18,16;18,16;23,35;46,93;31,31;38,56;18,16;24,18;36,1;25,74;46,86;-;24,03
02.06.2015;19:00;-;17,8;17,8;27,24;52,6;30;38,16;17,8;25,97;27,82;28,5;47,6;-;27,97
02.06.2015;20:00;-;17,51;17,51;24,97;60,99;27,1;38,65;17,51;25,02;24,51;27,21;51,81;-;27,1
02.06.2015;21:00;-;17;17;25,2;74,99;25,2;38,94;17;23,83;22,16;25,5;51,81;-;25,2
02.06.2015;22:00;-;15,41;15,41;33,74;75;39,99;35,48;15,41;22,74;20;23,74;42,09;-;23,62
02.06.2015;23:00;-;8,93;8,93;35,46;55;44,94;31,79;8,93;15,92;12,96;15;31,31;-;15,44
03.06.2015;00:00;-;9,04;9,04;15,21;54,29;16,58;-;9,04;10,59;10,11;12,11;31,31;-;14,92
03.06.2015;01:00;-;6,15;6,15;11,17;49,02;11,17;-;6,15;8,97;41,1;11,62;22,53;-;11,17
03.06.2015;02:00;-;5,51;5,51;8,7;44,93;8,7;-;5,51;8,67;7,5;12;12,03;-;8,7
03.06.2015;03:00;-;4,89;4,89;4,89;44,43;4,89;-;4,89;8,16;6,08;11,1;11,49;-;4,89
03.06.2015;04:00;-;5,77;5,77;8,25;48,51;8,25;-;5,77;10,72;8,92;13,42;13,52;-;8,25
03.06.2015;05:00;-;9,24;9,24;16,15;45,19;16,15;-;9,24;16,6;45,19;17,1;26,8;-;16,15
03.06.2015;06:00;-;17;17;23,92;50,47;31,54;33,39;17;25,4;50,47;27,5;40,55;-;26,34
03.06.2015;07:00;-;18,97;18,97;38,95;54,5;41,91;36,34;18,97;32,51;54,5;33,5;45;-;39,46
03.06.2015;08:00;-;19,59;19,59;39,36;58,28;42,33;42,45;19,59;34,93;58,28;34,5;53,06;-;39,36
03.06.2015;09:00;-;19,56;19,64;40,76;55;42,69;45,09;19,64;31,57;55;31,58;52,99;-;33,94
03.06.2015;10:00;-;19,45;19,79;43,9;52,1;48,06;44,56;19,79;30,21;52,1;29,57;51,81;-;29,92
03.06.2015;11:00;-;19,28;19,8;41,99;48,75;45,42;45,39;19,8;29,66;48,75;28,7;51,81;-;29,9
03.06.2015;12:00;-;19,29;19,3;38,86;44,55;41,82;45,86;19,3;28;44,55;27,3;54,29;-;26,44
03.06.2015;13:00;-;19,24;19,24;34,72;43,52;52,91;45,07;19,24;28,02;43,52;26,78;55,86;-;25,06
03.06.2015;14:00;-;19,1;19,1;35,2;50,63;54,64;44,45;19,1;27,78;50,63;26,06;51,81;-;24,88
03.06.2015;15:00;-;18,34;18,34;34,98;53,25;53,67;42,82;18,34;27,25;53,25;26;53,83;-;25,06
03.06.2015;16:00;-;17,9;17,9;34,95;55,01;51,84;41,26;17,9;28,86;55,01;29,78;51,58;-;25,99
03.06.2015;17:00;-;17,84;17,84;30,07;53,8;39,39;39,22;17,84;31,72;53,8;32,96;49,1;-;33,12
03.06.2015;18:00;-;17,96;17,96;36,18;55,01;42,09;37,29;17,96;35,25;55,01;35,23;40,55;-;38,1
03.06.2015;19:00;-;17,96;17,96;38,92;55;48,65;40,81;17,96;39,43;55;41;45,05;-;42,08
03.06.2015;20:00;-;18,07;18,07;40,47;60,99;49,71;39,76;18,07;38,68;60,99;40,05;41,98;-;43,48
03.06.2015;21:00;-;17,77;17,77;39,49;65,99;45,93;38,81;17,77;38,37;65,99;40;40,55;-;41,57
03.06.2015;22:00;-;17,07;17,07;38,62;53,86;45,22;37,47;17,07;37,58;39,1;38,8;38,92;-;40,79
03.06.2015;23:00;-;12,54;12,54;32,21;51,14;45,54;36,16;12,54;32,51;38;33,68;33,68;-;36,43
04.06.2015;00:00;-;13,17;13,17;31,59;49,05;51,27;-;13,17;29,34;32,28;30;30;-;37,45
04.06.2015;01:00;-;11,33;11,33;25,69;45,43;40,27;-;11,33;27,76;27,75;28,1;28,1;-;30,78
04.06.2015;02:00;-;10,81;10,81;24,85;43,24;37,08;-;10,81;25,99;27,11;25,8;25,8;-;30,04
04.06.2015;03:00;-;11,16;11,16;21,62;41,44;39,75;-;11,16;24,15;25,64;24,53;24,53;-;29,33
04.06.2015;04:00;-;14,82;14,82;23,29;41,23;35,86;-;14,82;23,04;26,99;23,76;23,76;-;28,64
04.06.2015;05:00;-;16,56;16,56;26,18;43,58;27,84;-;16,56;25,02;27,01;25,7;25,7;-;26,89
04.06.2015;06:00;-;18,78;18,78;24,61;45,93;41,08;-;18,78;27,6;27,33;28,7;28,79;-;31,47
04.06.2015;07:00;-;34,06;34,06;34,06;52,33;43,21;-;24,7;33,04;38,1;35,83;38,51;-;34,06
04.06.2015;08:00;-;31,63;31,63;31,5;64,24;41,35;31,63;31,63;31,37;38,1;33,7;37,08;-;31,63
04.06.2015;09:00;-;28,08;28,08;32,16;65,55;53,09;30,22;28,08;27,58;38,1;28,3;36,09;-;28,08
04.06.2015;10:00;-;24,99;24,99;34,27;59,21;51,94;30,77;24,99;27,85;38,1;28;37,07;-;24,99
04.06.2015;11:00;-;23,02;23,02;35,5;60;59,65;31,15;23,02;28;55,17;28;44,81;-;23,02
04.06.2015;12:00;-;21,12;21,12;33,62;52,99;57,69;33,11;21,12;26,03;52,99;26,12;44,57;-;21,12
04.06.2015;13:00;-;19,72;19,72;32,84;46,79;58,06;34,11;19,72;25,98;46,79;24,7;40,31;-;19,72
04.06.2015;14:00;-;18,73;18,73;30,93;55,01;54,53;31,84;18,73;25,93;50,5;24;39,04;-;18,73
04.06.2015;15:00;-;19,03;19,03;29,12;59,12;48,23;30,54;19,03;25,91;45;23,8;39,04;-;19,03
04.06.2015;16:00;-;20,01;20,01;29,92;59,71;48,93;30,5;20,01;25,89;45;24,66;31,3;-;20,01
04.06.2015;17:00;-;27,94;27,94;33,39;57;45,32;30,57;27,94;29,25;41,11;29,35;31,3;-;27,94
04.06.2015;18:00;-;33,61;33,61;35,77;58,99;40,01;33,61;33,61;33,59;33,2;34,28;34,28;-;33,79
04.06.2015;19:00;-;35,24;36,61;36,86;61,81;50,24;36,61;36,61;38,48;40,42;40,72;40,72;-;36,92
04.06.2015;20:00;-;31,94;36,89;37,34;63,03;44,2;36,91;36,89;39,71;39;40,7;42,79;-;37,79
04.06.2015;21:00;-;31,13;35,47;34,94;75,99;38,94;37,64;35,47;38,38;39,25;40,31;40,31;-;36,34
04.06.2015;22:00;-;20,04;35,75;41,68;55,01;52,44;35,75;35,75;36,12;36,29;36,69;36,69;-;36,63
04.06.2015;23:00;-;18,25;29,18;39,21;54;58,63;31,67;29,18;30,93;31,13;31,62;31,62;-;29,9
05.06.2015;00:00;-;15,7;15,7;27,97;50,62;33,28;-;15,7;28,3;31,11;26,11;26,11;-;25,37
05.06.2015;01:00;-;13,71;13,71;27,2;44,52;33,75;-;13,71;28,3;29,02;24;24;-;24,01
05.06.2015;02:00;-;12,43;12,43;23,78;43,24;28,1;-;12,43;24,92;27,46;22;22;-;22,89
05.06.2015;03:00;-;11,9;11,9;20,06;42,08;20,18;-;11,9;22,98;25,14;20;20;-;20,13
05.06.2015;04:00;-;12,06;12,06;19,12;42,74;24,15;-;12,06;20,65;26,89;20,99;20,99;-;22,01
05.06.2015;05:00;-;13,03;13,03;23,78;42,58;23,78;-;13,03;21,1;27;22;22;-;23,78
05.06.2015;06:00;-;16,99;16,99;29,17;45,02;31,74;-;16,99;22,42;30,37;30,37;30,37;-;30,66
05.06.2015;07:00;-;20,43;35,09;41,38;50;40,39;37,36;35,09;29,17;38,2;38,3;38,3;-;35,96
05.06.2015;08:00;-;22,26;37,91;48,01;56;46,07;44,4;37,91;36,53;38,2;37;38,55;-;37,91
05.06.2015;09:00;-;23,53;34,95;48,91;57,2;48,91;49,22;34,95;35,9;38,2;36,8;37,97;-;34,95
05.06.2015;10:00;-;27,75;28,75;52,11;52,11;60;51,75;28,75;35,24;40,46;32,46;39,03;-;28,75
05.06.2015;11:00;-;23,84;27,18;54;54;50,57;53,93;27,18;31,91;29,56;31,06;44,97;-;27,18
05.06.2015;12:00;-;22,62;24,23;51,31;51,31;57,44;56,53;24,23;31,03;41;29,3;45,06;-;24,23
05.06.2015;13:00;-;20,1;22,4;50,05;50,05;58,01;56,79;22,4;29,11;28,72;26,5;39,09;-;22,95
05.06.2015;14:00;-;19,29;21,76;53,05;53,05;53,09;52,65;21,76;27,46;25,1;25,8;45;-;22,29
05.06.2015;15:00;-;18,45;18,45;54,93;54,93;54,93;47,26;18,45;26,72;25,3;26,8;39,05;-;23,3
05.06.2015;16:00;-;17,7;17,7;45,76;58,51;54;45,09;17,7;27,57;26,4;27,9;33,56;-;25,96
05.06.2015;17:00;-;17,55;31,68;41,67;55,12;59,96;42;31,68;27,14;34,1;33,85;34,47;-;32,97
05.06.2015;18:00;-;21,91;31,75;39,96;55,7;39,96;40,64;31,75;30,98;40;36;36,01;-;39,96
05.06.2015;19:00;-;12,68;16,93;42,79;57,2;46,76;38,69;16,93;35,07;38,2;37,1;38,98;-;45,14
05.06.2015;20:00;-;16,46;16,46;34,17;58,11;48,14;38,61;16,46;35,22;40;36,6;39,04;-;42,5
05.06.2015;21:00;-;15,68;15,68;34,33;68,63;37,36;39,54;15,68;37,53;44,5;36,23;37,63;-;36,14
05.06.2015;22:00;-;15,26;15,26;39,91;53,01;38,96;36,67;15,26;35,86;39,65;35,55;35,55;-;35,06
05.06.2015;23:00;-;13,22;13,22;34,01;50,91;50,18;33,72;13,22;35,41;33,26;28,76;28,76;-;26,58
06.06.2015;00:00;-;9,94;9,94;29,88;50,61;55;-;9,94;26;26,7;25,5;25,5;-;24,24
06.06.2015;01:00;-;8,28;8,28;24,9;43,53;35,1;-;8,28;23,8;25,87;23;23;-;21,94
06.06.2015;02:00;-;7,36;7,36;24,42;42,18;38,12;-;7,36;22,04;24,93;21,13;21,13;-;18,13
06.06.2015;03:00;-;6,38;6,38;22,29;41,8;31,58;-;6,38;21,54;23,42;20;20;-;18,01
06.06.2015;04:00;-;5,39;5,39;20,55;42,41;21,68;-;5,39;21,31;23,51;19,8;19,8;-;20,02
06.06.2015;05:00;-;6,98;6,98;19,42;41,4;19,42;-;6,98;22,08;21,2;19,7;19,7;-;19,42
06.06.2015;06:00;-;8,04;8,04;20,85;41,4;20,85;-;8,04;22,69;22,16;20,16;20,16;-;20,85
06.06.2015;07:00;-;7,96;23,95;23,95;41,63;24,99;32,84;9,92;25,06;19,5;22,5;22,5;-;23,95
06.06.2015;08:00;-;14,77;24,77;24,77;43,4;36;32,85;12,82;26,44;23,08;26,58;26,58;-;24,77
06.06.2015;09:00;-;14,79;26,21;26,21;50,16;54,96;33,81;14,79;25,99;22,5;28;28;-;26,21
06.06.2015;10:00;-;15,44;25,07;25,07;51,38;60;34,54;15,44;25;21,14;26,93;26,93;-;25,07
06.06.2015;11:00;-;14,65;24,72;24,72;50,6;53,09;34,66;14,65;24,02;20,7;26,2;26,2;-;24,72
06.06.2015;12:00;-;13,73;19,76;23,85;47,39;40;35,11;13,73;22,55;18,09;23,41;23,41;-;19,76
06.06.2015;13:00;-;12,14;18,47;21,72;41,4;31,53;34,48;12,14;22,09;17,3;22,8;22,8;-;18,47
06.06.2015;14:00;-;11,12;20,18;20,18;43,4;30,12;34,66;11,12;20,81;15,03;20,53;20,53;-;20,18
06.06.2015;15:00;-;9,85;18,07;19,81;45,19;27,44;34,88;9,85;20,58;14,7;20,2;20,2;-;18,07
06.06.2015;16:00;-;9,14;18,57;20,71;50,58;30;34,85;9,14;21,58;16,12;22,1;22,1;-;18,57
06.06.2015;17:00;-;9,38;23,07;23,07;48,66;31,53;33,23;9,38;24,35;20,3;25,8;25,8;-;23,07
06.06.2015;18:00;-;9,93;26,5;26,5;51,79;37,07;33,09;9,93;28,15;24,06;27,4;28,98;-;26,5
06.06.2015;19:00;-;9,66;28,97;30,93;53,93;45;32,87;9,66;32,53;30,74;30,34;31,53;-;30,93
06.06.2015;20:00;-;9,59;28,96;32,05;45,38;51,66;32,88;9,59;33,96;38,1;33,6;39,1;-;32,05
06.06.2015;21:00;-;9,59;28,96;31,39;48,82;52,44;33,21;9,59;33,92;45;35,58;44,93;-;31,48
06.06.2015;22:00;-;9,5;28,95;35,2;42,7;64,83;32,29;9,5;33,99;38,1;34,6;34,6;-;32,76
06.06.2015;23:00;-;7,64;27,92;33,18;41,1;54,94;32,12;7,64;30,94;29,17;30,5;30,5;-;27,92
07.06.2015;00:00;-;4,87;4,87;23,87;48,93;34,71;-;4,87;24,74;26,73;22,73;22,73;-;18,59
07.06.2015;01:00;-;4,24;4,24;20;43,18;29,36;-;4,24;21,46;25,6;18,6;18,6;-;15,58
07.06.2015;02:00;-;4,02;4,02;17,35;42,9;17,35;-;4,02;19,89;23,65;16,65;16,65;-;17,35
07.06.2015;03:00;-;3,88;3,88;15,67;39,88;25;-;3,88;18,63;21,68;14,68;14,68;-;15,67
07.06.2015;04:00;-;3,73;3,73;15,26;43,18;15,26;-;3,73;14,26;18,14;14,14;14,14;-;15,26
07.06.2015;05:00;-;4,01;4,01;14,21;45,53;14,21;-;4,01;12,29;17,6;13,6;13,6;-;14,21
07.06.2015;06:00;-;4,25;4,25;13,13;43,18;13,13;-;4,25;12,82;18,2;14,2;14,2;-;13,13
07.06.2015;07:00;-;4,89;12,02;12,02;43,18;12,02;-;4,89;13,71;20,79;14,5;14,5;-;12,02
07.06.2015;08:00;-;8,44;13;13;42,9;29,94;36,29;8,44;16,54;21,5;16,1;16,1;-;13
07.06.2015;09:00;-;9,19;16,89;16,89;42,9;31,5;35,71;9,19;18,51;26,05;19,05;19,05;-;16,89
07.06.2015;10:00;-;10,1;14,66;14,66;42,9;32,12;36,81;10,1;17,33;35,1;19,16;19,16;-;14,66
07.06.2015;11:00;-;10,77;17,03;17,03;42,9;34,51;36,82;10,77;18,99;33,48;21,48;21,48;-;17,03
07.06.2015;12:00;-;9,9;14;17,65;41,35;35;37,47;9,9;18,24;31,6;19,6;19,6;-;14
07.06.2015;13:00;-;9,66;9,73;17,12;33,09;33;37,23;9,66;15,89;24,67;16,9;16,9;-;9,73
07.06.2015;14:00;-;8,36;11,98;15,38;38,9;29,94;35,16;8,36;14,57;22,7;15,7;15,7;-;11,98
07.06.2015;15:00;-;8,21;12,45;12,45;41,1;25;34,61;8,21;13,15;20;14,1;14,1;-;12,45
07.06.2015;16:00;-;8,71;13,58;13,58;45,4;24;34,63;8,71;13,61;21;16,32;16,32;-;13,58
07.06.2015;17:00;-;9,14;16,66;16,66;45,9;34,25;34,63;9,14;17,98;35,1;19,34;19,34;-;16,66
07.06.2015;18:00;-;10,6;10,6;22,03;46,4;39,94;31,15;10,6;22,94;45;23,39;23,39;-;22,69
07.06.2015;19:00;-;11,84;11,84;21,83;51,01;49,96;34,44;11,84;25,98;51,01;26,79;26,79;-;30,03
07.06.2015;20:00;-;12,66;12,66;25,19;52,99;55;34,62;12,66;25,7;52,99;28,2;37,04;-;29,98
07.06.2015;21:00;-;13,45;13,45;24,34;66;59,94;35,46;13,45;26,28;66;28,23;45,03;-;29,9
07.06.2015;22:00;-;13,79;13,79;32,39;57,34;70;36,53;13,79;28,39;57,34;30,6;30,6;-;32,39
07.06.2015;23:00;-;11,9;11,9;29,95;50,84;59,96;34,61;11,9;24,53;50,84;24,76;24,76;-;25,54
08.06.2015;00:00;-;10,44;10,44;24,29;46,4;24,29;-;10,44;24,09;21,51;22,51;22,51;-;24,29
08.06.2015;01:00;-;8,94;8,94;21,53;41,83;21,53;-;8,94;21,77;21,38;22,38;22,38;-;21,53
08.06.2015;02:00;-;8,37;8,37;18,94;40,98;18,94;-;8,37;20,4;18,11;20,01;20,01;-;18,94
08.06.2015;03:00;-;8,3;8,3;16,18;38,47;16,25;-;8,3;18,47;16,64;19;19;-;16,23
08.06.2015;04:00;-;9,21;9,21;15,13;39,34;16,95;-;9,21;19,16;18;19;19;-;16,22
08.06.2015;05:00;-;2,71;11,68;18,1;40,02;18,1;-;11,68;22,19;22,17;23,17;23,17;-;18,1
08.06.2015;06:00;-;28,73;28,73;31,54;45,95;31,54;34,03;28,73;30,05;33,72;32,9;32,9;-;31,54
08.06.2015;07:00;-;30,66;39,42;38,89;51,74;41,4;39,42;39,42;41,72;43,43;41,66;41,66;-;40,39
08.06.2015;08:00;-;41,99;44,91;45,51;60,61;46,91;45,74;44,91;43,74;44,36;42,5;42,5;-;44,91
08.06.2015;09:00;-;23,45;39,6;48,08;57,34;62,65;48,86;39,6;43,57;44,28;41,6;41,6;-;39,6
08.06.2015;10:00;-;23,79;37,49;42,67;54,19;52,44;48,6;37,49;38,64;40,22;38,6;39,08;-;37,49
08.06.2015;11:00;-;24,61;38,19;45,98;54,46;59,39;49,01;38,19;40,17;54,46;40,12;41,28;-;38,19
08.06.2015;12:00;-;23,91;32,61;40,52;51;59,62;49,08;32,61;36,51;51;37,3;47,94;-;32,61
08.06.2015;13:00;-;24,92;31,98;40,25;50,65;60,12;49,02;31,98;34,78;50,65;34,85;42,9;-;31,98
08.06.2015;14:00;-;28,25;30,62;36,31;52,91;49,94;49,03;30,62;34,62;52,91;33,9;41,93;-;30,62
08.06.2015;15:00;-;23,87;30,28;32,78;58,41;37,06;48,81;30,28;33,16;58,41;33,7;39,05;-;30,28
08.06.2015;16:00;-;21,41;29,98;31,56;60,99;35,34;44,51;29,98;32,8;60,99;33,65;36,58;-;29,98
08.06.2015;17:00;-;21,43;32,92;32,92;57;32,92;42,71;32,92;35,06;42,5;36;36;-;32,92
08.06.2015;18:00;-;21,46;34,73;34,73;57,34;34,73;36,37;34,73;36,9;57,34;37,4;37,4;-;34,73
08.06.2015;19:00;-;20,84;36,97;36,97;57,94;36,97;37,6;36,97;37,88;45,5;39,4;40,02;-;36,97
08.06.2015;20:00;-;18,6;34,97;34,97;60,99;34,97;39,05;34,97;35,44;60,99;38,25;45,01;-;34,97
08.06.2015;21:00;-;16,47;33,99;33,99;65,66;33,99;39,39;33,99;33,93;65,66;37;43,07;-;33,99
08.06.2015;22:00;-;16,46;32,12;36,4;57,24;44,74;34,68;32,12;34,42;57,24;35,94;35,94;-;32,91
08.06.2015;23:00;-;14,47;25,25;33,27;51,74;49,73;36,21;25,25;28,74;38,74;28,96;28,96;-;25,87
09.06.2015;00:00;-;14,01;14,01;25,01;48,63;25,01;-;14,01;25,09;23,81;25,2;25,2;-;25,01
09.06.2015;01:00;-;12,74;12,74;20,88;43,55;24,19;-;12,74;25,09;20,73;22,73;22,73;-;22,68
09.06.2015;02:00;-;12,62;12,62;19,05;41,13;19,05;-;12,62;23,02;17,63;20,13;20,13;-;19,05
09.06.2015;03:00;-;12,53;12,53;17,94;40;17,94;-;12,53;20,89;15,72;18,72;18,72;-;17,94
09.06.2015;04:00;-;12,66;12,66;17,34;40;17,34;-;12,66;19,24;16,71;19,71;19,71;-;17,34
09.06.2015;05:00;-;14,76;14,76;21,65;40;22,33;-;14,76;19,71;19,73;22,73;22,73;-;22,04
09.06.2015;06:00;-;30,85;30,85;18,76;45,18;40,42;36,57;30,85;22,17;27,59;30,99;30,99;-;31,61
09.06.2015;07:00;-;38,06;38,82;29,15;49,18;39,96;38,82;38,82;29,19;39,75;41,75;41,75;-;38,06
09.06.2015;08:00;-;40,49;45,64;41,62;56;43,62;45,64;45,64;40,44;44,21;46,96;46,96;-;40,49
09.06.2015;09:00;-;39,92;52,24;42,75;54;47,78;52,24;52,24;45,93;41,79;43,79;43,79;-;39,92
09.06.2015;10:00;-;40,33;51,82;41,66;52,65;44;51,82;51,82;43,46;41;43,04;43,04;-;40,33
09.06.2015;11:00;-;47,01;52,63;47,01;51,47;47,01;52,63;52,63;42,2;41,04;43,58;43,58;-;47,01
09.06.2015;12:00;-;44,94;51,37;44,94;50,55;44,94;51,37;51,37;42,67;42,1;41,77;41,77;-;44,94
09.06.2015;13:00;-;41,73;50,51;43,42;50,44;46,38;50,51;50,51;38,43;42,1;40,66;41,04;-;41,73
09.06.2015;14:00;-;33,38;40,91;44,2;52,99;49,94;43,31;40,91;37,96;42,1;37,2;40,04;-;40,91
09.06.2015;15:00;-;32,38;39,46;40,35;57,34;42,44;39,52;39,46;37,34;42,1;37,08;38;-;39,46
09.06.2015;16:00;-;32,36;34,96;36,75;57,34;39,85;37,42;34,96;36,44;35,1;35,97;35,97;-;34,96
09.06.2015;17:00;-;35,04;35,04;35,04;52,92;35,04;36,36;35,04;35,06;35,1;37,04;37,04;-;35,04
09.06.2015;18:00;-;35,06;36,13;36,13;52,68;36,13;36,26;36,13;36,46;35,82;38,11;38,11;-;36,13
09.06.2015;19:00;-;15,86;38,1;38,1;53,28;38,1;38,1;38,1;37,71;38,4;40,4;40,4;-;38,1
09.06.2015;20:00;-;15,29;38,16;38,16;56,38;38,16;38,16;38,16;39,08;37,41;39,41;41,03;-;38,16
09.06.2015;21:00;-;15,07;35,29;35,29;57,66;35,29;36,48;35,29;36,9;42,1;35,84;41,07;-;35,29
09.06.2015;22:00;-;13,95;34,91;34,91;52,35;34,91;37,18;34,91;34,33;32,62;35,62;40,1;-;34,91
09.06.2015;23:00;-;12,73;29,65;33,14;51;40,7;34,76;29,65;33,69;24,85;29,95;29,95;-;29,65
10.06.2015;00:00;-;14,96;27,99;27,99;48,55;27,99;-;14,96;26,84;25,65;26,68;26,68;-;27,99
10.06.2015;01:00;-;14,15;14,15;25,59;43,34;25,59;-;14,15;24,33;21,95;25,03;25,03;-;25,59
10.06.2015;02:00;-;13,22;13,22;24,59;41,5;24,59;-;13,22;22,39;20,05;22,55;22,55;-;24,59
10.06.2015;03:00;-;12,72;12,72;22,09;40,05;25,34;-;12,72;20,68;19,46;20,93;20,93;-;23,05
10.06.2015;04:00;-;12,84;12,84;21,23;40,05;29,73;-;12,84;21,02;22,78;20,92;20,92;-;23,75
